Model,Training Data (%),Accuracy (%)
AlexNet,10,1.1485148514851484
AlexNet,25,10.245544554455446
AlexNet,50,27.766336633663368
AlexNet,75,41.766336633663364
AlexNet,100,51.120792079207924
ResNet34,10,21.045544554455446
ResNet34,25,39.528712871287134
ResNet34,50,58.07524752475247
ResNet34,75,65.41782178217822
ResNet34,100,70.85940594059406
ResNet50,10,13.687128712871289
ResNet50,25,28.423762376237622
ResNet50,50,50.495049504950494
ResNet50,75,62.20990099009901
ResNet50,100,69.65544554455445
YOLOv8s-cls,10,45.37821710109711
YOLOv8s-cls,25,64.81980085372925
YOLOv8s-cls,50,74.27326440811157
YOLOv8s-cls,75,79.13663387298584
YOLOv8s-cls,100,82.00792074203491
CLIP Linear Probe,10,83.06138613861386
CLIP Linear Probe,25,85.409900990099
CLIP Linear Probe,50,86.44356435643564
CLIP Linear Probe,75,86.87524752475248
CLIP Linear Probe,100,87.3940594059406
