epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.5622,4.6279,0.01531,0.06429,4.6095,0.00330247,0.00330247,0.0702778
2,48.0192,4.61257,0.01954,0.09413,4.58267,0.00652631,0.00652631,0.0401683
3,67.4652,4.48942,0.03261,0.13809,4.42895,0.00964015,0.00964015,0.0099488
4,87.4255,4.39323,0.05663,0.18931,4.30819,0.009505,0.009505,0.009505
5,107.438,4.29118,0.05729,0.20449,4.23669,0.00934,0.00934,0.00934
6,127.665,4.22405,0.05083,0.1732,4.65581,0.009175,0.009175,0.009175
7,147.547,4.13002,0.07525,0.24911,4.12357,0.00901,0.00901,0.00901
8,167.613,4.06124,0.07538,0.23934,4.13212,0.008845,0.008845,0.008845
9,187.532,3.98406,0.09307,0.28396,3.96877,0.00868,0.00868,0.00868
10,207.577,3.89723,0.11287,0.30746,3.91492,0.008515,0.008515,0.008515
11,228.162,3.8287,0.09927,0.30205,4.01565,0.00835,0.00835,0.00835
12,248.588,3.7643,0.12937,0.34508,3.78712,0.008185,0.008185,0.008185
13,267.837,3.69485,0.14495,0.36726,3.72315,0.00802,0.00802,0.00802
14,287.846,3.62286,0.14112,0.36079,3.75956,0.007855,0.007855,0.007855
15,307.823,3.56055,0.13267,0.35116,3.93835,0.00769,0.00769,0.00769
16,327.758,3.49053,0.16752,0.40871,3.59016,0.007525,0.007525,0.007525
17,347.577,3.41669,0.17201,0.41479,3.57412,0.00736,0.00736,0.00736
18,367.268,3.34781,0.16172,0.3897,3.66742,0.007195,0.007195,0.007195
19,387.24,3.31437,0.17096,0.42653,3.56797,0.00703,0.00703,0.00703
20,407.362,3.25239,0.1802,0.42812,3.54874,0.006865,0.006865,0.006865
21,426.972,3.17551,0.19221,0.43789,3.46582,0.0067,0.0067,0.0067
22,446.591,3.13065,0.22667,0.49941,3.26573,0.006535,0.006535,0.006535
23,466.557,3.10536,0.23934,0.50614,3.22665,0.00637,0.00637,0.00637
24,486.649,3.02539,0.21677,0.48805,3.37267,0.006205,0.006205,0.006205
25,507.198,2.96328,0.24449,0.52726,3.13508,0.00604,0.00604,0.00604
26,527.374,2.91721,0.27564,0.55564,3.02247,0.005875,0.005875,0.005875
27,547.332,2.85516,0.2804,0.56686,2.97594,0.00571,0.00571,0.00571
28,567.475,2.79848,0.27842,0.5596,3.01105,0.005545,0.005545,0.005545
29,587.126,2.75296,0.27881,0.56462,3.03002,0.00538,0.00538,0.00538
30,606.735,2.71444,0.28898,0.57175,2.97442,0.005215,0.005215,0.005215
31,626.641,2.65461,0.26719,0.5501,3.125,0.00505,0.00505,0.00505
32,646.513,2.60851,0.3262,0.60383,2.82495,0.004885,0.004885,0.004885
33,666.103,2.5562,0.31327,0.59485,2.88064,0.00472,0.00472,0.00472
34,685.626,2.52727,0.31234,0.60013,2.86567,0.004555,0.004555,0.004555
35,705.643,2.4408,0.31789,0.59842,2.86878,0.00439,0.00439,0.00439
36,725.858,2.37908,0.33954,0.61399,2.79592,0.004225,0.004225,0.004225
37,745.442,2.3267,0.33927,0.61584,2.77946,0.00406,0.00406,0.00406
38,764.769,2.29655,0.34561,0.62587,2.72814,0.003895,0.003895,0.003895
39,784.113,2.27587,0.3435,0.62614,2.7588,0.00373,0.00373,0.00373
40,803.9,2.2093,0.3629,0.64106,2.68399,0.003565,0.003565,0.003565
41,823.965,2.17622,0.367,0.65228,2.6488,0.0034,0.0034,0.0034
42,843.48,2.10901,0.36449,0.65003,2.64843,0.003235,0.003235,0.003235
43,863.527,2.08453,0.36224,0.65307,2.64342,0.00307,0.00307,0.00307
44,882.348,2.02871,0.36409,0.65795,2.62513,0.002905,0.002905,0.002905
45,901.996,1.96024,0.38231,0.65822,2.60009,0.00274,0.00274,0.00274
46,921.666,1.90683,0.38719,0.66337,2.58553,0.002575,0.002575,0.002575
47,941.517,1.89456,0.37848,0.6565,2.62244,0.00241,0.00241,0.00241
48,961.344,1.83243,0.38548,0.66455,2.61623,0.002245,0.002245,0.002245
49,980.88,1.79316,0.38455,0.66772,2.58851,0.00208,0.00208,0.00208
50,1000.51,1.73476,0.40211,0.6701,2.54887,0.001915,0.001915,0.001915
51,1022.52,1.72941,0.40053,0.67564,2.54089,0.00175,0.00175,0.00175
52,1042.06,1.66838,0.40013,0.67776,2.5296,0.001585,0.001585,0.001585
53,1061.11,1.6187,0.40264,0.67894,2.54082,0.00142,0.00142,0.00142
54,1080.53,1.58982,0.40607,0.68013,2.50795,0.001255,0.001255,0.001255
55,1099.75,1.54106,0.40251,0.67472,2.54364,0.00109,0.00109,0.00109
56,1119.68,1.46014,0.41452,0.67894,2.5,0.000925,0.000925,0.000925
57,1138.13,1.45221,0.41135,0.68422,2.52778,0.00076,0.00076,0.00076
58,1157.74,1.39625,0.41465,0.6833,2.49966,0.000595,0.000595,0.000595
59,1177.31,1.38825,0.41571,0.67987,2.50405,0.00043,0.00043,0.00043
60,1195.75,1.33292,0.41875,0.68436,2.49422,0.000265,0.000265,0.000265
