K,trial,seed,train_images,best_C,val_acc,test_acc
1,0,1000,101,100.0,40.211221122112214,43.19207920792079
1,1,1001,101,100.0,35.366336633663366,37.3980198019802
1,2,1002,101,100.0,38.89108910891089,40.93861386138614
1,3,1003,101,10.0,41.34653465346535,43.611881188118815
1,4,1004,101,10.0,39.70957095709571,41.362376237623764
2,0,1000,202,100.0,54.019801980198025,57.91683168316831
2,1,1001,202,10.0,50.12541254125412,52.748514851485155
2,2,1002,202,100.0,51.458745874587464,54.52673267326733
2,3,1003,202,100.0,51.102310231023104,54.54257425742575
2,4,1004,202,100.0,51.70957095709571,54.6019801980198
4,0,1000,404,100.0,63.524752475247524,68.05148514851486
4,1,1001,404,10.0,62.943894389438945,67.10891089108911
4,2,1002,404,100.0,62.17821782178218,66.10693069306932
4,3,1003,404,100.0,63.603960396039604,67.13663366336634
4,4,1004,404,100.0,63.9075907590759,67.66732673267327
8,0,1000,808,10.0,71.43234323432344,76.04356435643564
8,1,1001,808,10.0,70.4026402640264,75.36237623762376
8,2,1002,808,10.0,70.45544554455445,75.00198019801981
8,3,1003,808,10.0,71.04950495049505,75.78613861386138
8,4,1004,808,10.0,71.26072607260726,76.26534653465346
16,0,1000,1616,10.0,76.1980198019802,80.66138613861386
16,1,1001,1616,10.0,75.26072607260727,80.10693069306932
16,2,1002,1616,10.0,75.02310231023102,79.73861386138614
16,3,1003,1616,10.0,75.74917491749174,80.15841584158416
16,4,1004,1616,10.0,75.4983498349835,80.54653465346536
