true_class,predicted_class,confusion_rate,text_similarity
steak,filet_mignon,0.204,0.9386284351348877
cup_cakes,red_velvet_cake,0.188,0.8649811744689941
ice_cream,frozen_yogurt,0.188,0.9138021469116211
chocolate_cake,chocolate_mousse,0.184,0.9236000776290894
beef_tartare,tuna_tartare,0.148,0.9348435401916504
apple_pie,bread_pudding,0.1,0.8680132627487183
gyoza,dumplings,0.092,0.9136638641357422
filet_mignon,steak,0.088,0.9386284351348877
clam_chowder,lobster_bisque,0.08,0.8278145790100098
prime_rib,steak,0.068,0.9197354316711426
ramen,miso_soup,0.068,0.8781716227531433
donuts,beignets,0.052,0.8639270067214966
pork_chop,filet_mignon,0.048,0.8778197765350342
tuna_tartare,beef_tartare,0.048,0.9348434805870056
baby_back_ribs,pork_chop,0.044,0.875542163848877
beef_carpaccio,beet_salad,0.044,0.8123496770858765
tiramisu,chocolate_mousse,0.044,0.8716946840286255
cheesecake,panna_cotta,0.04,0.8901551961898804
foie_gras,chocolate_mousse,0.04,0.7419178485870361
guacamole,nachos,0.04,0.8851284980773926
macaroni_and_cheese,french_onion_soup,0.04,0.8275691866874695
miso_soup,hot_and_sour_soup,0.04,0.8664548993110657
scallops,foie_gras,0.04,0.7261991500854492
ceviche,tuna_tartare,0.036,0.8330132961273193
falafel,crab_cakes,0.036,0.8504742383956909
fried_calamari,onion_rings,0.036,0.8713651895523071
ravioli,gnocchi,0.036,0.8704083561897278
sushi,sashimi,0.036,0.9288980960845947
chicken_curry,lobster_bisque,0.032,0.7836476564407349
croque_madame,eggs_benedict,0.032,0.8199173808097839
dumplings,gyoza,0.032,0.9136638641357422
escargots,french_onion_soup,0.032,0.7531601786613464
french_onion_soup,creme_brulee,0.032,0.8353487253189087
grilled_salmon,foie_gras,0.032,0.7399470806121826
bread_pudding,creme_brulee,0.028,0.8529297113418579
breakfast_burrito,huevos_rancheros,0.028,0.8591521382331848
chocolate_mousse,chocolate_cake,0.028,0.9236000776290894
creme_brulee,panna_cotta,0.028,0.8614295721054077
french_toast,bread_pudding,0.028,0.8981058597564697
grilled_cheese_sandwich,croque_madame,0.028,0.8137222528457642
peking_duck,spring_rolls,0.028,0.8134133815765381
pulled_pork_sandwich,hamburger,0.028,0.8852455615997314
red_velvet_cake,chocolate_cake,0.028,0.9164819717407227
strawberry_shortcake,panna_cotta,0.028,0.8084575533866882
baklava,bread_pudding,0.024,0.7812047004699707
crab_cakes,falafel,0.024,0.8504742383956909
fried_rice,risotto,0.024,0.8876694440841675
lasagna,french_onion_soup,0.024,0.8263484239578247
omelette,huevos_rancheros,0.024,0.8267369270324707
onion_rings,fried_calamari,0.024,0.8713651895523071
paella,risotto,0.024,0.8870614767074585
panna_cotta,chocolate_mousse,0.024,0.8596700429916382
risotto,shrimp_and_grits,0.024,0.7905526161193848
samosa,beignets,0.024,0.8056454658508301
tacos,chicken_quesadilla,0.024,0.8672797083854675
chicken_quesadilla,huevos_rancheros,0.02,0.8167982697486877
club_sandwich,croque_madame,0.02,0.792460560798645
greek_salad,beet_salad,0.02,0.8567630052566528
hamburger,onion_rings,0.02,0.8536515235900879
huevos_rancheros,breakfast_burrito,0.02,0.8591521382331848
lobster_bisque,clam_chowder,0.02,0.8278145790100098
takoyaki,seaweed_salad,0.02,0.7129894495010376
beet_salad,tuna_tartare,0.016,0.8001056909561157
caprese_salad,beet_salad,0.016,0.8393979072570801
carrot_cake,red_velvet_cake,0.016,0.8919405937194824
cheese_plate,foie_gras,0.016,0.7405686378479004
pancakes,french_toast,0.016,0.9076923131942749
sashimi,sushi,0.016,0.9288980960845947
seaweed_salad,beet_salad,0.016,0.848473310470581
bibimbap,fried_rice,0.012,0.8285064697265625
bruschetta,foie_gras,0.012,0.73785799741745
cannoli,beignets,0.012,0.8027036190032959
eggs_benedict,croque_madame,0.012,0.8199173808097839
french_fries,poutine,0.012,0.8829809427261353
hot_dog,lobster_roll_sandwich,0.012,0.8335301280021667
hummus,foie_gras,0.012,0.7467124462127686
nachos,tacos,0.012,0.916689932346344
pho,hot_and_sour_soup,0.012,0.8529661297798157
spaghetti_bolognese,lasagna,0.012,0.867728054523468
beignets,chocolate_mousse,0.008,0.7593261003494263
caesar_salad,greek_salad,0.008,0.8918242454528809
churros,beignets,0.008,0.8096145987510681
deviled_eggs,cup_cakes,0.008,0.795439600944519
garlic_bread,apple_pie,0.008,0.8401844501495361
gnocchi,beet_salad,0.008,0.7452234029769897
hot_and_sour_soup,french_onion_soup,0.008,0.8449112772941589
mussels,beet_salad,0.008,0.7809312343597412
oysters,mussels,0.008,0.9142455458641052
pad_thai,beet_salad,0.008,0.7595250606536865
poutine,french_fries,0.008,0.8829809427261353
spring_rolls,cannoli,0.008,0.8398814797401428
waffles,french_toast,0.008,0.8908330798149109
chicken_wings,crab_cakes,0.004,0.8320032358169556
fish_and_chips,chicken_wings,0.004,0.8582790493965149
lobster_roll_sandwich,crab_cakes,0.004,0.8216049671173096
pizza,garlic_bread,0.004,0.8773361444473267
shrimp_and_grits,chicken_curry,0.004,0.7636011242866516
spaghetti_carbonara,escargots,0.004,0.7250912189483643
edamame,apple_pie,0.0,0.7885996103286743
frozen_yogurt,apple_pie,0.0,0.8009732961654663
macarons,apple_pie,0.0,0.8453385829925537
