epoch,train_loss,val_acc,lr
1,4.423634811186455,0.0774917491749175,0.01
2,3.950078124283625,0.13254125412541254,0.01
3,3.620250969201746,0.17676567656765677,0.01
4,3.271535448960855,0.25702970297029704,0.01
5,2.9521068800782935,0.29544554455445543,0.01
6,2.6628844566188508,0.34745874587458747,0.01
7,2.455930661791367,0.3821782178217822,0.01
8,2.302565401092941,0.43405940594059406,0.01
9,2.1756936616181206,0.4308910891089109,0.01
10,2.0910200933195617,0.4880528052805281,0.01
11,2.0260351059862147,0.45056105610561054,0.01
12,1.965368177325513,0.43854785478547853,0.01
13,1.9129479518798596,0.49676567656765674,0.01
14,1.8680349523892426,0.5007260726072608,0.01
15,1.8359626557485598,0.47287128712871285,0.01
16,1.7974066871852383,0.5258085808580858,0.01
17,1.7756062995939748,0.5382178217821783,0.01
18,1.7516421625871614,0.5398019801980198,0.01
