class_id,AlexNet,ResNet34,ResNet50,YOLOv8s,CLIP zero-shot,SigLIP zero-shot
0,0.18,0.408,0.364,0.64,0.58,0.772
1,0.536,0.72,0.696,0.828,0.832,0.888
2,0.564,0.776,0.752,0.908,0.82,0.916
3,0.72,0.844,0.848,0.912,0.864,0.892
4,0.524,0.724,0.72,0.844,0.812,0.78
5,0.492,0.624,0.708,0.748,0.748,0.912
6,0.732,0.832,0.852,0.912,0.916,0.964
7,0.776,0.852,0.836,0.916,0.94,0.956
8,0.344,0.536,0.536,0.652,0.836,0.884
9,0.192,0.448,0.436,0.684,0.768,0.92
10,0.472,0.62,0.628,0.788,0.788,0.92
11,0.7,0.796,0.832,0.92,0.94,0.98
12,0.484,0.716,0.684,0.904,0.904,0.968
13,0.524,0.712,0.744,0.876,0.896,0.92
14,0.536,0.732,0.72,0.828,0.884,0.928
15,0.264,0.564,0.592,0.728,0.668,0.844
16,0.46,0.704,0.724,0.9,0.94,0.968
17,0.424,0.604,0.564,0.696,0.732,0.836
18,0.396,0.668,0.624,0.812,0.74,0.88
19,0.452,0.676,0.68,0.836,0.912,0.944
20,0.616,0.792,0.796,0.912,0.964,0.984
21,0.564,0.648,0.636,0.736,0.788,0.744
22,0.416,0.592,0.58,0.708,0.736,0.896
23,0.572,0.748,0.764,0.912,0.868,0.964
24,0.696,0.824,0.82,0.924,0.872,0.888
25,0.544,0.796,0.756,0.908,0.94,0.936
26,0.348,0.644,0.612,0.776,0.836,0.892
27,0.752,0.84,0.892,0.92,0.928,0.932
28,0.728,0.828,0.812,0.896,0.836,0.944
29,0.596,0.732,0.784,0.908,0.74,0.788
30,0.764,0.864,0.86,0.948,0.94,0.956
31,0.396,0.676,0.648,0.828,0.884,0.936
32,0.768,0.872,0.852,0.892,0.904,0.928
33,0.908,0.976,0.992,0.992,0.996,1.0
34,0.692,0.82,0.848,0.904,0.96,0.968
35,0.656,0.8,0.784,0.908,0.812,0.892
36,0.352,0.664,0.648,0.804,0.812,0.892
37,0.38,0.552,0.584,0.676,0.716,0.836
38,0.544,0.76,0.78,0.904,0.936,0.98
39,0.308,0.484,0.492,0.66,0.596,0.836
40,0.756,0.848,0.844,0.94,0.916,0.968
41,0.676,0.82,0.796,0.892,0.88,0.9
42,0.468,0.696,0.692,0.816,0.844,0.916
43,0.5,0.732,0.744,0.852,0.888,0.924
44,0.484,0.732,0.736,0.884,0.872,0.936
45,0.668,0.808,0.8,0.928,0.956,1.0
46,0.444,0.628,0.616,0.784,0.784,0.916
47,0.42,0.668,0.616,0.816,0.712,0.924
48,0.608,0.74,0.744,0.844,0.844,0.944
49,0.296,0.672,0.676,0.796,0.74,0.884
50,0.312,0.532,0.528,0.716,0.812,0.852
51,0.708,0.852,0.86,0.92,0.884,0.952
52,0.48,0.748,0.744,0.892,0.804,0.864
53,0.472,0.616,0.62,0.8,0.752,0.92
54,0.76,0.892,0.884,0.96,0.916,0.98
55,0.56,0.736,0.732,0.844,0.9,0.972
56,0.34,0.528,0.52,0.712,0.876,0.948
57,0.24,0.6,0.572,0.788,0.752,0.932
58,0.288,0.576,0.508,0.732,0.78,0.712
59,0.432,0.612,0.624,0.776,0.732,0.88
60,0.724,0.828,0.86,0.92,0.912,0.964
61,0.576,0.796,0.816,0.916,0.948,0.976
62,0.556,0.728,0.712,0.844,0.74,0.864
63,0.704,0.88,0.864,0.936,0.968,1.0
64,0.768,0.872,0.876,0.916,0.9,0.94
65,0.776,0.816,0.844,0.896,0.912,0.948
66,0.388,0.652,0.636,0.844,0.908,0.968
67,0.292,0.56,0.54,0.716,0.76,0.9
68,0.636,0.792,0.824,0.932,0.868,0.956
69,0.78,0.872,0.876,0.94,0.992,0.98
70,0.668,0.84,0.844,0.94,0.956,0.976
71,0.568,0.696,0.76,0.868,0.872,0.92
72,0.544,0.808,0.76,0.884,0.908,0.952
73,0.464,0.608,0.636,0.764,0.808,0.932
74,0.516,0.736,0.724,0.88,0.772,0.932
75,0.836,0.896,0.912,0.948,0.944,0.964
76,0.688,0.824,0.828,0.916,0.952,0.988
77,0.332,0.448,0.392,0.572,0.616,0.868
78,0.66,0.812,0.808,0.896,0.916,0.98
79,0.708,0.808,0.792,0.876,0.836,0.876
80,0.416,0.684,0.68,0.836,0.94,0.94
81,0.588,0.756,0.752,0.884,0.784,0.868
82,0.204,0.556,0.44,0.692,0.568,0.828
83,0.664,0.816,0.824,0.892,0.928,0.928
84,0.312,0.572,0.572,0.76,0.792,0.908
85,0.388,0.612,0.604,0.868,0.748,0.92
86,0.72,0.796,0.816,0.924,0.956,0.968
87,0.3,0.592,0.612,0.756,0.704,0.864
88,0.796,0.844,0.832,0.928,0.94,0.98
89,0.472,0.644,0.64,0.82,0.904,0.988
90,0.692,0.864,0.852,0.964,0.948,0.972
91,0.744,0.884,0.88,0.956,0.96,0.976
92,0.424,0.644,0.628,0.784,0.904,0.96
93,0.32,0.488,0.464,0.564,0.552,0.576
94,0.68,0.776,0.76,0.872,0.812,0.904
95,0.484,0.716,0.764,0.864,0.876,0.936
96,0.312,0.636,0.576,0.796,0.808,0.9
97,0.58,0.812,0.796,0.948,0.9,0.88
98,0.512,0.696,0.72,0.844,0.74,0.928
99,0.368,0.588,0.624,0.72,0.668,0.864
100,0.436,0.784,0.764,0.888,0.88,0.976
