model_a,model_b,acc_a,acc_b,acc_diff_pts,ci_lower,ci_hi,mcnemar_p,mcnemar_method,a_only_correct,b_only_correct,both_correct,both_wrong,odds_ratio,wilcoxon_p,wilcoxon_median_diff_pts,rank_biserial,classes_favouring_a,classes_favouring_b,mcnemar_p_holm,mcnemar_sig,wilcoxon_p_holm,wilcoxon_sig
AlexNet,ResNet34,53.34653465346535,71.81782178217821,-18.47128712871287,-19.065445544554454,-17.869306930693067,0.0,chi2 + correction,1080,5744,12390,6036,0.18802228412256267,2.6588107354267857e-18,-17.600000000000005,-1.0,0,101,0.0,True,3.97016800727128e-17,True
AlexNet,ResNet50,53.34653465346535,71.52475247524752,-18.178217821782177,-18.77227722772277,-17.584059405940593,0.0,chi2 + correction,1088,5678,12382,6102,0.19161676646706588,2.6599873687392427e-18,-18.399999999999995,-1.0,0,101,0.0,True,3.97016800727128e-17,True
AlexNet,YOLOv8s,53.34653465346535,84.26138613861386,-30.914851485148514,-31.536633663366338,-30.3009900990099,0.0,chi2 + correction,538,8344,12932,3436,0.06447746883988495,2.6614588548797917e-18,-30.800000000000004,-1.0,0,101,0.0,True,3.97016800727128e-17,True
AlexNet,CLIP zero-shot,53.34653465346535,84.18613861386139,-30.83960396039604,-31.5009900990099,-30.182178217821782,0.0,chi2 + correction,859,8646,12611,3134,0.09935230164237797,2.6588107354267857e-18,-29.600000000000005,-1.0,0,101,0.0,True,3.97016800727128e-17,True
AlexNet,SigLIP zero-shot,53.34653465346535,91.61980198019802,-38.27326732673267,-38.92673267326733,-37.64356435643565,0.0,chi2 + correction,425,10089,13045,1691,0.04212508672811974,2.6585166542398227e-18,-39.6,-1.0,0,101,0.0,True,3.97016800727128e-17,True
ResNet34,ResNet50,71.81782178217821,71.52475247524752,0.29306930693069305,-0.16643564356435633,0.7643564356435644,0.22192479497520987,chi2 + correction,1823,1749,16311,5367,1.0423098913664952,0.2629386822676375,0.40000000000000036,0.1292929292929293,57,42,0.44384958995041973,False,0.525877364535275,False
ResNet34,YOLOv8s,71.81782178217821,84.26138613861386,-12.443564356435644,-12.938712871287128,-11.932673267326733,0.0,chi2 + correction,752,3894,17382,3222,0.19311761684643042,2.6467786715141867e-18,-12.4,-1.0,0,101,0.0,True,3.97016800727128e-17,True
ResNet34,CLIP zero-shot,71.81782178217821,84.18613861386139,-12.368316831683169,-12.946534653465347,-11.794059405940594,0.0,chi2 + correction,1340,4463,16794,2653,0.30024647098364327,2.6592519150582747e-18,-12.0,-1.0,0,101,0.0,True,3.97016800727128e-17,True
ResNet34,SigLIP zero-shot,71.81782178217821,91.61980198019802,-19.801980198019802,-20.364356435643565,-19.243564356435645,0.0,chi2 + correction,631,5631,17503,1485,0.11205824897886699,2.657046710999481e-18,-19.200000000000006,-1.0,0,101,0.0,True,3.97016800727128e-17,True
ResNet50,YOLOv8s,71.52475247524752,84.26138613861386,-12.736633663366337,-13.247524752475249,-12.233663366336634,0.0,chi2 + correction,739,3955,17321,3235,0.1868520859671302,3.860232335742132e-18,-12.4,-1.0,0,100,0.0,True,3.97016800727128e-17,True
ResNet50,CLIP zero-shot,71.52475247524752,84.18613861386139,-12.661386138613862,-13.235643564356437,-12.087128712871287,0.0,chi2 + correction,1345,4542,16715,2648,0.2961250550418318,4.276937152321081e-18,-11.2,-0.9937876140555232,1,100,0.0,True,3.97016800727128e-17,True
ResNet50,SigLIP zero-shot,71.52475247524752,91.61980198019802,-20.095049504950495,-20.657425742574258,-19.532673267326732,0.0,chi2 + correction,609,5683,17451,1507,0.10716171036424424,2.6564589495703515e-18,-19.200000000000006,-1.0,0,101,0.0,True,3.97016800727128e-17,True
YOLOv8s,CLIP zero-shot,84.26138613861386,84.18613861386139,0.07524752475247524,-0.4,0.562475247524751,0.7737618165261726,chi2 + correction,1970,1951,19306,2023,1.0097385955920042,0.94609146811012,-0.40000000000000036,0.007946735395189003,42,54,0.7737618165261726,False,0.94609146811012,False
YOLOv8s,SigLIP zero-shot,84.26138613861386,91.61980198019802,-7.358415841584158,-7.80990099009901,-6.906930693069308,1.5261661371997252e-212,chi2 + correction,852,2710,20424,1264,0.31439114391143913,8.192676332559179e-15,-6.399999999999995,-0.8942574257425743,9,91,4.5784984115991756e-212,True,2.4578028997677536e-14,True
CLIP zero-shot,SigLIP zero-shot,84.18613861386139,91.61980198019802,-7.433663366336633,-7.857425742574257,-7.01772277227723,3.495167846356095e-252,chi2 + correction,591,2468,20666,1525,0.23946515397082657,3.426731692313356e-16,-5.600000000000005,-0.9442424242424242,6,93,1.398067138542438e-251,True,1.3706926769253423e-15,True
