epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,181.507,4.45301,0.09782,0.2802,3.99768,0.00999155,0.00333052,0.00999155,0.00333052,0.00999155,0.00333052,0.00999155,0.00333052
2,357.856,3.75742,0.2379,0.51576,3.13551,0.0196617,0.0065539,0.0196617,0.0065539,0.0196617,0.0065539,0.0196617,0.0065539
3,531.87,3.17685,0.3484,0.64463,2.61985,0.0290018,0.00966728,0.0290018,0.00966728,0.0290018,0.00966728,0.0290018,0.00966728
4,704.738,2.67369,0.53608,0.81354,1.76376,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,876.821,2.27869,0.61481,0.86154,1.45014,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,1047.76,2.04763,0.66154,0.88974,1.25654,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,1220.11,1.88588,0.69937,0.91022,1.09559,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1391.66,1.75861,0.72871,0.92265,0.99668,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,1562.9,1.66726,0.74554,0.92994,0.92088,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,1737.35,1.58175,0.75968,0.93659,0.86367,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,1909.67,1.51594,0.77105,0.94099,0.8224,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,2083.63,1.45212,0.78,0.94364,0.78885,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,2256.99,1.397,0.78721,0.94554,0.77009,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,2429.65,1.3472,0.792,0.94804,0.7539,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,2601.54,1.30866,0.79446,0.94859,0.74219,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,2773.95,1.27331,0.79509,0.94966,0.73496,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,2946.33,1.23129,0.79703,0.95077,0.72751,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,3117.87,1.20071,0.79917,0.95152,0.72205,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,3291.27,1.16466,0.80095,0.95208,0.71395,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,3463.35,1.14398,0.80253,0.95287,0.70802,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,3633.49,1.10683,0.80384,0.95358,0.70286,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,3806.87,1.08257,0.80511,0.9541,0.6985,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,3980.3,1.05633,0.80646,0.95517,0.69397,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,4153.7,1.02032,0.80792,0.95564,0.68739,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,4326.24,1.00242,0.80994,0.9564,0.68161,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,4501.91,0.96999,0.81172,0.95659,0.67656,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,4676.04,0.95329,0.81327,0.95739,0.67299,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,4849.2,0.93408,0.81489,0.95806,0.66889,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,5021.51,0.90333,0.81655,0.95802,0.66326,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,5191.45,0.87988,0.81893,0.95865,0.65818,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,5366.15,0.85253,0.82012,0.95885,0.65348,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
